Title;Actor;Actress
STRING;CAT;CAT
Tie Me Up! Tie Me Down!;Banderas, Antonio;Abril, Victoria
High Heels;Bosé, Miguel;Abril, Victoria
Dead Zone, The;Walken, Christopher;Adams, Brooke
Cuba;Connery, Sean;Adams, Brooke
Days of Heaven;Gere, Richard;Adams, Brooke
Octopussy;Moore, Roger;Adams, Maud
Target Eagle;Connors, Chuck;Adams, Maud
American Angels: Baptism of Blood, The;Bergen, Robert D.;Adams, Trudy
Subway;Lambert, Christopher;Adjani, Isabelle
Camille Claudel;Depardieu, Gérard;Adjani, Isabelle
Fanny and Alexander;Ahlstedt, Börje;Adolphson, Kristina
Tragedy of a Ridiculous Man;Tognazzi, Ugo;Aimee, Anouk
A Man & a Woman;Trintignant, Jean-Louis;Aimee, Anouk
A Man & a Woman: Twenty Years Later;Trintignant, Jean-Louis;Aimee, Anouk
Un Hombre y una Mujer;Trintignant, Jean-Louis;Aimee, Anouk
Official Story, The;Alterio, Hector;Aleandro, Norma
Lindbergh Kidnapping Case, The;Hopkins, Anthony;Alexander, Denise
Blackmail;Longden, John;Algood, Sara
Donovan's Reef;Wayne, John;Allen, Elizabeth
Tucker: The Man & His Dream;Bridges, Jeff;Allen, Joan
Scrooged;Murray, Bill;Allen, Karen
Raiders of the Lost Ark;Ford, Harrison;Allen, Karen
Running Man, The;Schwarzenegger, Arnold;Alonso, Maria Conchita
Predator 2;Glover, Danny;Alonso, Maria Conchita
Colors;Penn, Sean;Alonso, Maria Conchita
Zandalee;Cage, Nicolas;Anderson, Erika
Miles from Home;Anderson, Kevin;Anderson, Jo
Happy Birthday to Me;Ford, Glenn;Anderson, Melissa Sue
Final Notice;Gerard, Gil;Anderson, Melody
Quintet;Newman, Paul;Andersson, Bibi
Devil's Eye, The;Kulle, Jarl;Andersson, Bibi
Wild Strawberries;Sjöström, Victor;Andersson, Bibi
Seventh Seal, The;Sydow, Max von;Andersson, Bibi
Germicide;Taylor, Rod;Andersson, Bibi
Dreams;Björnstrand, Gunnar;Andersson, Harriet
Naked Night, The;Björnstrand, Gunnar;Andersson, Harriet
Through a Glass Darkly;Björnstrand, Gunnar;Andersson, Harriet
Cries & Whispers;Josephson, Erland;Andersson, Harriet
Barbarian & the Geisha, The;Wayne, John;Ando, Eiko
Casino Royale;Niven, David;Andress, Ursula
Dr. No;Connery, Sean;Andress, Ursula
Elephant Walk;Finch, Peter;Andrews, Dana
Ten;Moore, Dudley;Andrews, Julie
Man Who Loved Women, The;Reynolds, Burt;Andrews, Julie
Hawaii;Sydow, Max von;Andrews, Julie
Torn Curtain;Newman, Paul;Andrews, Julie
Duet for One;Bates, Alan;Andrews, Julie
Sound of Music, The;Plummer, Christopher;Andrews, Julie
Gonzo Presents Muppet Weird Stuff;Cleese, John;Andrews, Julie
Tartuffe;Depardieu, Gérard;Annen, Paule
A New Life;Alda, Alan;Ann-Margret
Magic;Hopkins, Anthony;Ann-Margret
Tommy;Daltry, Roger;Ann-Margret
Big Fix, The;Dreyfuss, Richard;Anspach, Susan
Alan & Naomi;Haas, Lukas;Aquino, Vanessa
Fatal Attraction;Douglas, Michael;Archer, Anne
Patriot Games;Ford, Harrison;Archer, Anne
Woman Next Door, The;Depardieu, Gérard;Ardant, Fanny
Hunting;Savage, John;Armstrong, Kerry
Bataan;Taylor, Robert;Arnaz, Desi
Siegfried, The Nibelungenlied;Richter, Paul;Arnold, Gertrud
Henry, Portrait of a Serial Killer;Rooker, Michael;Arnold, Tracy
Big Blue, The;Barr, Jean-Marc;Arquette, Rosanna
Flight of the Intruder;Glover, Danny;Arquette, Rosanna
Nobody's Fool;Roberts, Eric;Arquette, Rosanna
After Hours;Dunne, Griffin;Arquette, Rosanna
Desperately Seeking Susan;Quinn, Aidan;Arquette, Rosanna
A New Leaf;Matthau, Walter;Arrick, Rose
Killers of Kilimanjaro;Taylor, Robert;Aslan, Gregoire
Don Juan;Barrymore, John;Astor, Mary
Babette's Feast;LaFont, Jean-Philippe;Audran, Stéphane
Vincent, Francois, Paul & the Others;Montand, Yves;Audran, Stéphane
Thunderball;Connery, Sean;Auger, Claudine
Lodger (Story of the London Fog);Chesney, Arthur;Ault, Marie
Appointment with Death;Ustinov, Peter;Bacall, Lauren
Murder on the Orient Express;Balsam, Martin;Bacall, Lauren
Blood Alley;Wayne, John;Bacall, Lauren
Spy Who Loved Me, The;Moore, Roger;Bach, Barbara
Storm;Palfy, David;Bahtia, Stacy Christensen
Bloodbath;Hopper, Dennis;Baker, Carroll
Miami Cops;Roundtree, Richard;Baker, Dawn
Island of Dr. Moreau, The;Thewlis, David;Balk, Fairuza
Eighty-Four Charing Cross Road;Hopkins, Anthony;Bancroft, Anne
Elephant Man, The;Hopkins, Anthony;Bancroft, Anne
Dr Alien;Jacoby, Billy;Barash, Olivia
Creepshow;Holbrook, Hal;Barbeau, Adrienne
Sammy & Rosie Get Laid;Din, Ayub Khan;Barber, Frances
Goalie's Anxiety at the Penalty Kick, The;Brauss, Arthur;Bardischewski, Maria
Mademoiselle Striptease;Gelin, Daniel;Bardot, Brigitte
Women, The;Ronet, Maurice;Bardot, Brigitte
That Naughty Girl;Bretonniere, Jean;Bardot, Brigitte
Voulez-Vous Danser Avec Moi?;Vidal, Henri;Bardot, Brigitte
A Coeur Joie, (Head Over Heels);Terzieff, Laurent;Bardot, Brigitte
Shalako;Connery, Sean;Bardot, Brigitte
Contempt;Palance, Jack;Bardot, Brigitte
Dear Brigitte;Mumy, Billy;Bardot, Brigitte
A Very Private Affair;Mastroianni, Marcello;Bardot, Brigitte
Ravishing Idiot, The;Perkins, Anthony;Bardot, Brigitte
Bride Is Much Too Beautiful, The;Jourdan, Louis;Bardot, Brigitte
Doctor at Sea;Bogarde, Dirk;Bardot, Brigitte
Le Repos Du Guerrier, (Warrior's Rest);Hossein, Robert;Bardot, Brigitte
And God Created Woman;Jurgens, Curt;Bardot, Brigitte
Ms. Don Juan;Ronet, Maurice;Bardot, Brigitte
Siesta;Byrne, Gabriel;Barkin, Ellen
Rich & Strange;Kendall, Henry;Barry, Joan
Lionheart;Stoltz, Eric;Barrymore, Deborah
E. T. The Extra-Terrestrial;Wallace, Dee;Barrymore, Drew
Cool World;Byrne, Gabriel;Basinger, Kim
Nadine;Bridges, Jeff;Basinger, Kim
Batman;Nicholson, Jack;Basinger, Kim
Blind Date;Willis, Bruce;Basinger, Kim
Mother Lode;Heston, Charlton;Basinger, Kim
Final Analysis;Gere, Richard;Basinger, Kim
Never Say Never Again;Connery, Sean;Basinger, Kim
Nine & a Half Weeks;Rourke, Mickey;Basinger, Kim
Killjoy;Culp, Robert;Basinger, Kim
No Mercy;Gere, Richard;Basinger, Kim
Marrying Man, The;Baldwin, Alec;Basinger, Kim
Misery;Caan, James;Bates, Kathy
Crisis;Andersson, Wiktor;Baude, Anna-Lisa
Samson & Delilah;Hamilton, Antony;Bauer, Belinda
Act of Piracy;Busey, Gary;Bauer, Belinda
Split Decisions;Hackman, Gene;Beals, Jennifer
Vampire's Kiss;Cage, Nicolas;Beals, Jennifer
Nightmare at Noon;Hauser, Wings;Beck, Kimberly
Presumed Innocent;Ford, Harrison;Bedelia, Bonnie
Reap the Wild Wind;Wayne, John;Beecher, Janet
Pocket Money;Newman, Paul;Belford, Christine
Mary White;Flanders, Ed;Beller, Kathleen
Catch a Rising Star, Tenth Anniversary;Belzer, Richard;Benatar, Pat
Guilty by Suspicion;De Niro, Robert;Bening, Annette
Secret Beyond the Door;Redgrave, Michael;Bennett, Joan
Scarlet Street;Robinson, Edward G.;Bennett, Joan
Daffy Duck's Quackbusters;Blanc, Mel;Bennett, Julie
Rowlf's Rhapsodies with the Muppets;Burns, George;Berenson, Marisa
Gandhi;Kingsley, Ben;Bergen, Candice
Wind & the Lion, The;Connery, Sean;Bergen, Candice
Carnal Knowledge;Nicholson, Jack;Bergen, Candice
Getting Straight;Gould, Elliott;Bergen, Candice
Scarlet Letter, The;Albaicín, Rafael;Berger, Senta
Count of Old Town, The;Adolphson, Edvin;Bergman, Ingrid
Autumn Sonata;Björk, Halvar;Bergman, Ingrid
Gaslight;Boyer, Charles;Bergman, Ingrid
Indiscreet;Grant, Cary;Bergman, Ingrid
Walpurgis Night;Sjöström, Victor;Bergman, Ingrid
Joan of Arc;Ferrer, Jose;Bergman, Ingrid
A Woman Called Golda;Beatty, Ned;Bergman, Ingrid
A Walk in the Spring Rain;Quinn, Anthony;Bergman, Ingrid
Under Capricorn;Cotten, Joseph;Bergman, Ingrid
Notorious;Grant, Cary;Bergman, Ingrid
June Night;Widgren, Olof;Bergman, Ingrid
Goodbye Again;Perkins, Anthony;Bergman, Ingrid
Anastasia;Tamiroff, Akim;Bergman, Ingrid
Bells of St. Mary's, The;Crosby, Bing;Bergman, Ingrid
Intermezzo;Ekman, Gösta;Bergman, Ingrid
A Woman's Face;Svennberg, Tore;Bergman, Ingrid
Swedenhielms;Westergren, Håkan;Bergman, Ingrid
Only One Night;Adolphson, Edvin;Bergman, Ingrid
Dollar;Rydeberg, Georg;Bergman, Ingrid
Elena & Her Men;Ferrer, Mel;Bergman, Ingrid
Europa Fifty-One;Knox, Alexander;Bergman, Ingrid
Voyage in Italy;Sanders, George;Bergman, Ingrid
Fear;Wieman, Mathias;Bergman, Ingrid
Stromboli;Vitale, Mario;Bergman, Ingrid
Cactus Flower;Matthau, Walter;Bergman, Ingrid
Hideaways;Conover, Bruce;Bergman, Ingrid
Twenty Four Hours in a Woman's Life;Torn, Rip;Bergman, Ingrid
Programmed to Kill;Ginty, Robert;Bergman, Sandahl
Conan the Barbarian;Schwarzenegger, Arnold;Bergman, Sandahl
Raw Nerve;Ford, Glenn;Bergman, Sandahl
Think Dirty;Feldman, Marty;Berman, Shelley
King of Comedy;De Niro, Robert;Bernhard, Sandra
Best of the Big Laff Off, The;Murphy, Eddie;Bernhard, Sandra
Amadeus;Abraham, F. Murray;Berridge, Elizabeth
White Lightning;Reynolds, Burt;Billingsley, Jennifer
Unbearable Lightness of Being, The;Day-Lewis, Daniel;Binoche, Juliette
Life & Times of Judge Roy Bean, The;Newman, Paul;Bisset, Jacqueline
Airport;Lancaster, Burt;Bisset, Jacqueline
Day for Night;Aumont, Jean-Pierre;Bisset, Jacqueline
Secrets of Women;Malmsten, Birger;Björk, Anita
Burnt Offerings;Reed, Oliver;Black, Karen
Easy Rider;Fonda, Peter;Black, Karen
Five Easy Pieces;Nicholson, Jack;Black, Karen
Day of the Locust, The;Sutherland, Donald;Black, Karen
Goldfinger;Connery, Sean;Blackman, Honor
Exorcist II, The Heretic;Burton, Richard;Blair, Linda
White Lightning;Clements, Stanley;Blondell, Gloria
Lady for a Night;Wayne, John;Blondell, Joan
Charly;Robertson, Cliff;Bloom, Claire
High Plains Drifter;Eastwood, Clint;Bloom, Verna
Honkytonk Man;Eastwood, Clint;Bloom, Verna
Nightbreed;Cronenberg, David;Bobby, Anne
Under the Sun of Satan;Depardieu, Gérard;Bonnaire, Sandrine
Vagabond;Meril, Macha;Bonnaire, Sandrine
Bill Cosby, Live at Harrah's;Cosby, Bill;Boosler, Elayne
Monty Python & the Holy Grail;Chapman, Graham;Booth, Connie
John Cleese on How to Irritate People;Cleese, John;Booth, Connie
Matchmaker, The;Perkins, Anthony;Booth, Shirley
For Your Eyes Only;Moore, Roger;Bouquet, Carole
Wings;Rogers, Buddy;Bow, Clara
Medicine Man;Connery, Sean;Bracco, Lorraine
Good Fellas;De Niro, Robert;Bracco, Lorraine
Kiss of the Spider Woman;Hurt, William;Braga, Sonia
Rookie, THe;Eastwood, Clint;Braga, Sonia
Sting, The;Newman, Paul;Brennan, Eileen
Torpedo Run;Ford, Glenn;Brewster, Diane
Instant Justice;Paré, Michael;Bridges, Lynda
Cyrano de Bergerac;Depardieu, Gérard;Brochet, Anne
Border Street;Fijewski, Tadeusz;Broniewska, Maria
Firehouse;Hopkins, Barrett;Brown, Violet
Morituri;Brando, Marlon;Brynner, Yul
From the Life of the Marionettes;Atzorn, Robert;Buchegger, Christine
Frantic;Ford, Harrison;Buckley, Betty
Coma;Douglas, Michael;Bujold, Geneviève
Dead Ringers;Irons, Jeremy;Bujold, Geneviève
Golden Ninja Invasion;West, Leonard;Burd, Stephanie
Exorcist, The;Sydow, Max von;Burstyn, Ellen
Alice Doesn't Live Here Anymore;Kristofferson, Kris;Burstyn, Ellen
Eyes of the Amaryllis, The;Bolt, Jonathan;Byrne, Martha
What Price Glory?;Cagney, James;Calvet, Corinne
Inauguration of the Pleasure Dome;De Brier, Sampson;Cameron, Marjorie
School Daze;Fishburne, Larry;Campbell, Tisha
End of Innocence, The;Heard, John;Cannon, Dyan
Anderson Tapes, The;Connery, Sean;Cannon, Dyan
Father Murphy, A Horse from Heaven;Olsen, Merlin;Cannon, Katharine
Skull;Bideman, Robert;Capone, Nadia
Quick & The Dead, The;Elliott, Sam;Capshaw, Kate
Best Defense;Moore, Dudley;Capshaw, Kate
Dreamscape;Quaid, Dennis;Capshaw, Kate
Black Rain;Douglas, Michael;Capshaw, Kate
8 1/2;Mastroianni, Marcello;Cardinale, Claudia
One Frightened Night;Ford, Wallace;Carlisle, Mary
Year My Voice Broke, The;Taylor, Noah;Carmen, Loene
Is Paris Burning?;Belmondo, Jean-Paul;Caron, Leslie
QB VII;Hopkins, Anthony;Caron, Leslie
Island of Dr. Moreau, The;Lancaster, Burt;Carrera, Barbara
Beyond the Limit;Caine, Michael;Carrillo, Elpidia
Secret Agent;Lorre, Peter;Carroll, Madeleine
Paramount Comedy Theater: Well-Developed;Mahler, Bruce;Carter, Judy
Big Bust Out, The;Kendall, Tony;Carter, Karen
Fourth Protocol, The;Caine, Michael;Cassidy, Joanna
Gremlins 2: The New Batch;Galligan, Zach;Cates, Phoebe
Fast Times at Ridgemont High;Penn, Sean;Cates, Phoebe
Mannequin;McCarthy, Andrew;Cattrall, Kim
Rabid;Moore, Frank;Chambers, Marilyn
Party, The;Sellers, Peter;Champion, Marge
Vampire Raiders, Ninja Queen;Peterson, Chris;Chan, Agnes
Bloopers from Star Trek;Lawford, Peter;Channing, Carol
Destroyer;Robinson, Edward G.;Chapman, Marguerite
Party Girl;Taylor, Robert;Charisse, Cyd
Twin Peaks;MacLachlan, Kyle;Chen, Joan
Moonstruck;Cage, Nicholas;Cher
Witches of Eastwick, The;Nicholson, Jack;Cher
Moonraker;Moore, Roger;Chiles, Lois
Beat Street;Davis, Guy;Chong, Rae Dawn
Running Out of Luck;Jagger, Mick;Chong, Rae Dawn
Never on Tuesday;Lauer, Andrew;Christian, Claudia
Shampoo;Beatty, Warren;Christie, Julie
Power;Hackman, Gene;Christie, Julie
Darling;Harvey, Laurence;Christie, Julie
Ugly American, The;Brando, Marlon;Church, Sandra
Ambassador Bill;Rogers, Will;Churchill, Marguerite
Big Trail, The;Wayne, John;Churchill, Marguerite
Hombre;Newman, Paul;Cilento, Diane
Coogan's Bluff;Eastwood, Clint;Clark, Susan
Penn & Teller Get Killed;Penn, Jillette;Clarke, Caitlin
Shy People;Philbin, John;Clayburgh, Jill
It's My Turn;Douglas, Michael;Clayburgh, Jill
Dangerous Liaisons;Malkovich, John;Close, Glenn
Reversal of Fortune;Irons, Jeremy;Close, Glenn
Meeting Venus;Arestrup, Niels;Close, Glenn
Tomorrow Is Forever;Welles, Orson;Colbert, Claudette
Like Father Like Son;Cameron, Kirk;Colin, Margaret
Rope;Stewart, James;Collier, Constance
Road to Hong Kong;Hope, Bob;Collins, Joan
Shirley Valentine;Conti, Tom;Collins, Pauline
City of Joy;Swayze, Patrick;Collins, Pauline
Appaloosa, The;Brando, Marlon;Comer, Anjanette
Seven Minutes in Heaven;Thames, Byron;Connelly, Jennifer
Hearts of Darkness, A Filmmaker's Apocalypse;Bottoms, Sam;Coppola, Eleanor
Tonight for Sure;Lee, Karla;Cornell, Laura
White Hunter, Black Heart;Eastwood, Clint;Cornwell, Charlotte
Sundays & Cybele;Kruger, Hardy;Courcel, Nicole
Puppet Master;LeMat, Paul;Crampton, Barbara
Night Gallery;McDowall, Roddy;Crawford, Joan
Pet Sematary;Gwynne, Fred;Crosby, Denise
America's Music, Gospel;Phipps, Wentley;Crouch, Sandra
Slap Shot;Newman, Paul;Crouse, Lindsay
O. C. & Stiggs;Jenkins, Daniel H.;Curtin, Jane
A Fish Called Wanda;Cleese, John;Curtis, Jamie Lee
A Lesson in Love;Björnstrand, Gunnar;Dahlbeck, Eva
Brink of Life;Josephson, Erland;Dahlbeck, Eva
Betty Blue;Anglade, Jean-Hughes;Dalle, Béatrice
Hair;Savage, John;D'Angelo, Beverly
National Lampoon's Christmas Vacation;Chase, Chevy;D'Angelo, Beverly
Dersu Uzala, (The Hunter);Solomin, Yuri;Danilchenko, Svetlana
Alice;Baldwin, Alec;Danner, Blythe
Fifth Floor, The;Hopkins, Bo;D'Arbanville, Patti
Snow Kill;Knox, Terence;D'Arbanville, Patti
People, The;Shatner, William;Darby, Kim
True Grit;Wayne, John;Darby, Kim
Battle of Midway, The;Crisp, Donald;Darwell, Jane
Three Godfathers;Wayne, John;Darwell, Jane
Hush, Hush, Sweet Charlotte;Cotten, Joseph;Davis, Bette
A Stolen Life;Ford, Glenn;Davis, Bette
Old Maid, The;Brent, George;Davis, Bette
All about Eve;Sanders, George;Davis, Bette
Fly, The;Goldblum, Jeff;Davis, Geena
Quick Change;Murray, Bill;Davis, Geena
Lair of the White Worm, The;Grant, Hugh;Davis, Sammi
Rainbow, The;Hemmings, David;Davis, Sammi
Man Who Knew Too Much, The;Stewart, James;Day, Doris
Beauty & the Beast;Marais, Jean;Day, Josette
Foreign Correspondent;McCrea, Joel;Day, Laraine
Heiress, The;Richardson, Ralph;De Havilland, Olivia
Boy Who Could Fly, The;Underwood, Jay;Deakins, Lucy
Terrorists, The;Connery, Sean;Dean, Isabel
Wheel of Fortune;Wayne, John;Dee, Frances
Do the Right Thing;Aiello, Danny;Dee, Ruby
Court-Martial of Jackie Robinson, The;Braugher, Andre;Dee, Ruby
Elvira Madigan;Berggren, Thommy;Degermark, Pia
Hurricane Smith;Weathers, Carl;Delaney, Cassandra
Fair Game;Ford, Peter;Delaney, Cassandra
Rape of the Sabines, The;Moore, Roger;Demongeot, Mylene
Risky Business;Cruise, Tom;DeMornay, Rebecca
I Love All of You (Je Vous Aime);Depardieu, Gérard;Deneuve, Catherine
Love Songs;Lambert, Christopher;Deneuve, Catherine
Le Choix des Armes;Montand, Yves;Deneuve, Catherine
Choice of Arms;Montand, Yves;Deneuve, Catherine
March or Die;Hackman, Gene;Deneuve, Catherine
Last Metro, The;Depardieu, Gérard;Deneuve, Catherine
Jean de Florette;Montand, Yves;Depardieu, Elizabeth
Fat Man & Little Boy;Newman, Paul;Dern, Laura
Wild at Heart;Cage, Nicolas;Dern, Laura
Family Business;Connery, Sean;DeSoto, Rosana
Stand & Deliver;Olmos, Edward James;DeSoto, Rosana
Looker;Finney, Albert;Dey, Susan
Fire & Rain;Haid, Charles;Dickinson, Angie
Best of Candid Camera, The;Allen, Woody;Dickinson, Angie
Seven Sinners;Wayne, John;Dietrich, Marlene
Judgment at Nuremberg;Tracy, Spencer;Dietrich, Marlene
Minsky's Follies;Taylor, Rip;Diller, Phyllis
Novice, The;Sharif, Omar;Dombasle, Arielle
Wings of Desire;Ganz, Bruno;Dommartin, Solveig
Until the End of the World;Hurt, William;Dommartin, Solveig
Castaway;Reed, Oliver;Donohoe, Amanda
Alfred Hitchcock Presents, Sorcerer's Apprentice;Hitchcock, Alfred;Dors, Diana
Delicatessen;Benezech, Pascal;Dougnac, Marie-Laure
Great Train Robbery, The;Connery, Sean;Down, Lesley-Anne
Hanover Street;Ford, Harrison;Down, Lesley-Anne
Hunchback;Hopkins, Anthony;Down, Lesley-Anne
My Darling Clementine;Fonda, Henry;Downs, Cathy
Wagon Master;Johnson, Ben;Dru, Joanne
She Wore a Yellow Ribbon;Wayne, John;Dru, Joanne
Fantasy Man;Hopkins, Harold;Drynan, Jeanie
Monster in the Closet;Grant, Donald;DuBarry, Denise
Double Edge;Eban, Abba;Dunaway, Faye
Network;Finch, Peter;Dunaway, Faye
Chinatown;Nicholson, Jack;Dunaway, Faye
Three Days of the Condor;Redford, Robert;Dunaway, Faye
Voyage of the Damned;Sydow, Max von;Dunaway, Faye
Barfly;Rourke, Mickey;Dunaway, Faye
Wait Until Spring, Bandini;Mantegna, Joe;Dunaway, Faye
Life with Father;Powell, William;Dunne, Irene
A Guy Named Joe;Tracy, Spencer;Dunne, Irene
Stavisky;Belmondo, Jean-Paul;Duperey, Anny
Time Bandits;Cleese, John;Duvall, Shelley
Shining, The;Nicholson, Jack;Duvall, Shelley
Flame of Barbary Coast;Wayne, John;Dvorak, Ann
Naked Truth, The;Sellers, Peter;Eaton, Shirley
Brood, The;Reed, Oliver;Eggar, Samantha
Molly Maguires, The;Connery, Sean;Eggar, Samantha
Beverly Hills Cop;Murphy, Eddie;Eilbacher, Lisa
Blind Man's Bluff;Urich, Robert;Eilbacher, Lisa
La Dolce Vita;Mastroianni, Marcello;Ekberg, Anita
After the Fox;Sellers, Peter;Ekland, Britt
Man with the Golden Gun, The;Moore, Roger;Ekland, Britt
Marbella;Taylor, Rod;Ekland, Britt
Bobo, The;Sellers, Peter;Ekland, Britt
Big Bands, The;Beneke, Tex;Elgart, Les
Killer Image.;Ironside, Michael;Errickson, Krista
Kandyland;Laulette, Charles;Evenson, Kim
Campus Man;Dye, John;Fairchild, Morgan
Jubal;Ford, Glenn;Farr, Felicia
